date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
10/06/2022,white,Pentecost,Friday after the Day of Pentecost (Whitsunday),Feria,,White,,,Ember Day,,2021,2022,C,2
11/06/2022,red,Pentecost,St Barnabus,Apostle,4,Red,,,Ember Day,,2021,2022,C,2
12/06/2022,white,Pentecost,Trinity Sunday,Pentecost 1,2,White,,,,,2021,2022,C,2
13/06/2022,white,Pentecost,"John Skinner and John Skinner, ","Priest, 1807 and Bishop, 1816",6,White,Translated from 12 June,,,,2021,2022,C,2
14/06/2022,white,Pentecost,"St&nbsp;Basil of Caesarea, 379; St&nbsp;Gregory of Nazianzus, c.390; St&nbsp;Gregory of Nyssa, 394",Bishops and Teachers of the Faith,6,White,,,,,2021,2022,C,2
15/06/2022,white,Pentecost,Wednesday after Trinity Sunday,Feria,,White,,,,,2021,2022,C,2
16/06/2022,white,Pentecost,Corpus Christi,Thanksgiving for Holy Communion,5,White,,,,,2021,2022,C,2
17/06/2022,white,Pentecost,Friday after Trinity Sunday,Feria,,White,,,,,2021,2022,C,2
18/06/2022,red,Pentecost,Bernard Mizeki,"Martyr, 1896",6,Red,,,,,2021,2022,C,2
19/06/2022,green,Pentecost,Second Sunday after Pentecost,Pentecost 2,3,Green,,SPB Trinity 1,,,2021,2022,C,2
20/06/2022,red,Pentecost,St Fillan,"Abbot, c.750",6,Red,,,,,2021,2022,C,2
21/06/2022,green,Pentecost,Tuesday after Pentecost 2,Feria,,Green,,,,,2021,2022,C,2
22/06/2022,red,Pentecost,St Alban,"Martyr, c.303",6,Red,,,,,2021,2022,C,2
23/06/2022,green,Pentecost,Thursday after Pentecost 2,Feria,,Green,,,,,2021,2022,C,2
24/06/2022,white,Pentecost,The Birth of St John the Baptist,"Preacher, 1st century BC",4,White,,,,,2021,2022,C,2
25/06/2022,white,Pentecost,St Moluag of Lismore,"Bishop, 592",6,White,,,,,2021,2022,C,2
26/06/2022,green,Pentecost,Third Sunday after Pentecost,Pentecost 3,3,Green,,SPB Trinity 2,,,2021,2022,C,2
27/06/2022,white,Pentecost,Alexander Jolly,"Bishop, 1838",6,White,,,,,2021,2022,C,2
28/06/2022,white,Pentecost,St Irenaeus of Lyons,"Bishop and Teacher of the Faith, c.202",6,White,,,,,2021,2022,C,2
29/06/2022,red,Pentecost,St Peter (or St Peter and St Paul),Apostles,4,Red,,,,,2021,2022,C,2
30/06/2022,white,Pentecost,Robert Leighton,"Bishop, 1684",6,White,Translated from 26 June,,,,2021,2022,C,2
01/07/2022,white,Pentecost,St Serf,"Bishop, c.500",6,White,,,,,2021,2022,C,2
02/07/2022,green,Pentecost,Saturday after Pentecost 3,Feria,,Green,,,,,2021,2022,C,2
03/07/2022,green,Pentecost,Fourth Sunday after Pentecost,Pentecost 4,3,Green,,SPB Trinity 3,,,2021,2022,C,2
04/07/2022,red,Pentecost,St Thomas,Apostle,4,Red,Translated from 3 July (if not kept on 21 December),,,,2021,2022,C,2
05/07/2022,green,Pentecost,Tuesday after Pentecost 4,Feria,,Green,,,,,2021,2022,C,2
06/07/2022,white,Pentecost,St Palladius,"Bishop, c.450",6,White,,,,,2021,2022,C,2
07/07/2022,white,Pentecost,St Boisil,"Prior of Melrose, c.642",6,White,,,,,2021,2022,C,2
08/07/2022,green,Pentecost,Friday after Pentecost 4,Feria,,Green,,,,,2021,2022,C,2
