Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Friday,2023-09-22,,Friday after Pentecost 16,,,,"Friday 22 September 2023

Friday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 6:1-12
Psalm 49:1-9
Luke 8:1-3

DAILY PRAYER: Creation Week 3 
2 Kings 1:2-17
1 Corinthians 3:16-23
Matthew 5:11-16

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-09-23,,"Adamnan of Iona, Abbot, 704 [6] White",,,,"Saturday 23 September 2023

Adamnan of Iona, Abbot, 704 [6] White
Saturday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 6:13-16
Psalm 100
Luke 8:4-15

DAILY PRAYER: Creation Week 3
2 Kings 2:1-18
1 Corinthians 4:1-7
Matthew 5:17-20

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-09-24,,Pentecost 17 [3] Green; SPB Trinity 16,,,,"Sunday 24 September 2023

Pentecost 17 [3] Green
SPB Trinity 16
Week of Proper 25
Creation Week 4
Year A/1

EUCHARIST

Continuous:
Exodus 16:2-15
Psalm 105:1-6, 37-45
Philippians 1:21-30
Matthew 20:1-16

Thematic:
Jonah 3:10 - 4:11
Psalm 145:1-8
Philippians 1:21-30
Matthew 20:1-16

DAILY PRAYER: Creation Week 4 
Ezekiel 33:23, 33 - 34:10
Acts 26:1, 9-25
Mark 9:30-37

ALTERNATIVE PSALMS
Morning: Psalm 119:(113-120), 121-128
Evening: Psalm 119:(137-144), 145-152

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-09-25,,"Finnbar of Caithness, Bishop, c.610 [6] White",,,,"Monday 25 September 2023

Finnbar of Caithness, Bishop, c.610 [6] White
Monday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Ezra 1:1-6
Psalm 126
Luke 8:16-18

DAILY PRAYER: Creation Week 4 
2 Kings 5:1-19
1 Corinthians 4:8-21
Matthew 5:21-26

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-09-26,,Tuesday after Pentecost 17,,,,"Tuesday 26 September 2023

Tuesday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Ezra 6:1-8, 12-19
Psalm 124
Luke 8:19-21

DAILY PRAYER: Creation Week 4 
2 Kings 5:19-27
1 Corinthians 5:1-8
Matthew 5:27-37

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-09-27,,"Vincent de Paul, Priest, 1660 [6] White",,,,"Wednesday 27 September 2023

Vincent de Paul, Priest, 1660 [6] White
Wednesday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Ezra 9:5-9
Psalm 48
Luke 9:1-6

DAILY PRAYER: Creation Week 4 
2 Kings 6:1-23
1 Corinthians 5:9 - 6:8
Matthew 5:38-48

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-09-28,,Thursday after Pentecost 17,,,,"Thursday 28 September 2023

Thursday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Haggai 1:1-8
Psalm 149:1-5
Luke 9:7-9

DAILY PRAYER: Creation Week 4 
2 Kings 9:1-16
1 Corinthians 6:12-20
Matthew 6:1-6, 16-18

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-09-29,,Michael and All Angels [4] White,,,,"Friday 29 September 2023

Michael and All Angels [4] White
Week of Proper 25
Creation Week 4
Year A/1

EUCHARIST
Genesis 28:10-17
Psalm 103:19-22
Revelation 12:7-12
John 1:47-51

MORNING PRAYER: Festivals
Job 38:1-7
Hebrews 1:1-14

EVENING PRAYER: Festivals
Daniel 12:1-3 or 2 Kings 6:8-17
Mark 13:21-27 or Revelation 5:1-14   

COLLECT
who ordained and constituted the ministries of angels and mortals 
    in a wonderful order: 
grant that as your holy angels always serve you in heaven, 
so, at your command, they may help and defend us on earth; 
through Jesus Christ, our Lord; 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Friday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Haggai 1:15b - 2:9
Psalm 43
Luke 9:18-22

DAILY PRAYER: Creation Week 4 
2 Kings 9:17-37
1 Corinthians 7:1-9
Matthew 6:7-15

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-09-30,,"Jerome, Priest and Teacher of the Faith, 420 [6] White",,,,"Saturday 30 September 2023

Jerome, Priest and Teacher of the Faith, 420 [6] White
Saturday after Pentecost 17
Week of Proper 25
Creation Week 4
Year A/1

DAILY EUCHARIST
Zechariah 2:1-11
Psalm 121
Luke 9:43b-45

DAILY PRAYER: Creation Week 4 
2 Kings 11:1-20a
1 Corinthians 7:10-24
Matthew 6:19-24

COLLECT
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-10-01,,Pentecost 18 [3] Green; SPB Trinity 17 (Harvest Thanksgiving),,,,"Sunday 1 October 2023

Pentecost 18 [3] Green
Harvest Thanksgiving
SPB Trinity 17
Week of Proper 26
Year A/1

EUCHARIST

Continuous:
Exodus 17:1-7
Psalm 78:1-4, 12-16
Philippians 2:1-13
Matthew 21:23-32

Thematic:
Ezekiel 18:1-4, 25-32
Psalm 25:1-9
Philippians 2:1-13
Matthew 21:23-32

DAILY PRAYER: Week C
Ezekiel 37:15-28
1 John 2:22-29
Mark 9:38-50

ALTERNATIVE PSALMS
Morning: Psalms 123 and 124
Evening: Psalms 120 and 121

COLLECT for Proper 26
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECt for Harvest
God, in whom all things are possible,
You crown the year with your goodness
and give us the fruits of the earth in their season:
grant that we may use them to your glory,
so that none may hunger, none may thirst,
and all may cherish the gifts of your creation,
through Jesus Christ our Lord, 
who lives and reigns with you and the Holy Spirit,
one God, now and for ever.",,,,,
Monday,2023-10-02,,"Gregory the Enlightener, Bishop, 'Apostle of Armenia', c.332 [6] White (translated from 1 October)",,,,"Monday 2 October 2023

Gregory the Enlightener, Bishop, 'Apostle of Armenia', c.332 [6] White (translated from 1 October)
Monday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Zechariah 8:1-8
Psalm 102:11-22
Luke 9:46-50

DAILY PRAYER: Week C
2 Kings 17:24-41
1 Corinthians 7:25-31
Matthew 6:25-34

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-10-03,,Tuesday after Pentecost 18,,,,"Tuesday 3 October 2023

Tuesday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Zechariah 8:20-23
Psalm 87
Luke 9:51-56

DAILY PRAYER: Week C
2 Chronicles 29:1-3; 30:1, (2-9), 10-27
1 Corinthians 7:32-40
Matthew 7:1-12

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-10-04,,"Francis of Assisi, Deacon and Friar, 1226 [6] White",,,,"Wednesday 4 October 2023

Francis of Assisi, Deacon and Friar, 1226 [6] White
Wednesday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Nehemiah 2:1-8
Psalm 137:1-6
Luke 9:57-62

DAILY PRAYER: Week C
2 Kings 18:9-25
1 Corinthians 8:1-13
Matthew 7:13-21

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-10-05,,Thursday after Pentecost 18,,,,"Thursday 5 October 2023

Thursday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Nehemiah 8:1-12
Psalm 19:7-10
Luke 10:1-12

DAILY PRAYER: Week C
2 Kings 18:28-37
1 Corinthians 9:1-15
Matthew 7:22-29

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-10-06,,Friday after Pentecost 18,,,,"Friday 6 October 2023

Friday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Baruch 1:15-21
Psalm 79:1-9
Luke 10:13-16

DAILY PRAYER: Week C
2 Kings 19:1-20
1 Corinthians 9:16-27
Matthew 8:1-17

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-10-07,,Saturday after Pentecost 18,,,,"Saturday 7 October 2023

Saturday after Pentecost 18
Week of Proper 26
Year A/1

DAILY EUCHARIST
Baruch 4:5-12, 27-29
Psalm 69:34-48
Luke 10:17-24

DAILY PRAYER: Week C
2 Kings 19:21-36
1 Corinthians 10:1-13
Matthew 8:18-27

COLLECT
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-10-08,,Pentecost 19 [3] Green; SPB Trinity 18,,,,"Sunday 8 October 2023

Pentecost 19 [3] Green
SPB Trinity 18
Week of Proper 27
Year A/1

EUCHARIST

Continuous:
Exodus 20:1-4, 7-9, 12-20
Psalm 19
Philippians 3:4b-14
Matthew 21:33-46

Thematic:
Isaiah 5:1-7
Psalm 80:7-15
Philippians 3:4b-14
Matthew 21:33-46

DAILY PRAYER: Week D
Proverbs 2:1-11
1 John 2:1-17
Mark 10:2-16

ALTERNATIVE PSALMS
Morning: Psalm 136
Evening: Psalms 125 and 126

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-10-09,,"Alexander Penrose Forbes, Bishop, 1875 [6] White (translated from 8 October)",,,,"Monday 9 October 2023

Alexander Penrose Forbes, Bishop, 1875 [6] White (translated from 8 October)
Monday after Pentecost 19
Week of Proper 27
Year A/1

DAILY EUCHARIST
Jonah 1:1-17; 2:10
Psalm 130
Luke 10:25-37

DAILY PRAYER: Week D
2 Kings 21:1-18
1 Corinthians 10:14 - 11:1
Matthew 8:28-34

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-10-10,,Tuesday after Pentecost 19,,,,"Tuesday 10 October 2023

Tuesday after Pentecost 19
Week of Proper 27
Year A/1

DAILY EUCHARIST
Jonah 3:1-10
Psalm 6
Luke 10:38-42

DAILY PRAYER: Week D
2 Kings 22:1-13
1 Corinthians 11:2, 17-22
Matthew 9:1-8

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-10-11,,"Kenneth, Abbot, 600 [6] White",,,,"Wednesday 11 October 2023

Kenneth, Abbot, 600 [6] White
Wednesday after Pentecost 19
Week of Proper 27
Year A/1

DAILY EUCHARIST
Jonah 4:1-11
Psalm 86:1-10
Luke 11:1-4

DAILY PRAYER: Week D
2 Kings 22:14 - 23:3
1 Corinthians 11:23-34
Matthew 9:9-17

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-10-12,,"Elizabeth Fry, 1845 [6] White",,,,"Thursday 12 October 2023

Elizabeth Fry, 1845 [6] White
Thursday after Pentecost 19
Week of Proper 27
Year A/1

DAILY EUCHARIST
Malachi 3:13 - 4:2a
Psalm 1
Luke 11:5-13

DAILY PRAYER: Week D
2 Kings 23:4-25
1 Corinthians 12:1-11
Matthew 9:18-26

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-10-13,,Friday after Pentecost 19,,,,"Friday 13 October 2023

Friday after Pentecost 19
Ordination of the Rt Revd Mark Strange, Primus, as Bishop of Moray, Ross and Caithness, 2007
Week of Proper 27
Year A/1

DAILY EUCHARIST
Joel 1:13-15; 2:1-2
Psalm 9:1-8
Luke 11:14-26

DAILY PRAYER: Week D
2 Kings 23:36 - 24:17
1 Corinthians 12:12-26
Matthew 9:27-34

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-10-14,,Saturday after Pentecost 19,,,,"Saturday 14 October 2023

Saturday after Pentecost 19
Week of Proper 27
Year A/1

DAILY EUCHARIST
Joel 3:12-21
Psalm 97
Luke 11:27-28

DAILY PRAYER: Week D
Jeremiah 35:1-19
1 Corinthians 12:27 - 13:3
Matthew 9:35 - 10:4

COLLECT
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-10-15,,Pentecost 20 [3] Green; SPB Trinity 19,,,,"Sunday 15 October 2023

Pentecost 20 [3] Green
SPB Trinity 19
Week of Proper 28
Year A/1

EUCHARIST

Continuous:
Exodus 32:1-14
Psalm 106:1-6, 19-23
Philippians 4:1-9
Matthew 22:1-14

Thematic:
Isaiah 25:1-9
Psalm 23
Philippians 4:1-9
Matthew 22:1-14

DAILY PRAYER: Week A
Proverbs 3:1-18
1 John 3:1-15
Mark 10:17-31

ALTERNATIVE PSALMS
Morning: Psalm 139:1-11, (12-18)
Evening: Psalms 127 and 128

COLLECT
O Lord, 
since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-10-16,,"Teresa of Avila, Teacher of the Faith, 1582 [6] White (translated from 15 October)",,,,"Monday 16 October 2023

Teresa of Avila, Teacher of the Faith, 1582 [6] White (translated from 15 October)
Monday after Pentecost 20
Week of Proper 28
Year A/1

DAILY EUCHARIST
Romans 1:1-7
Psalm 98
Luke 11:29-32

DAILY PRAYER: Week A
Jeremiah 36:11-26
1 Corinthians 13:(1-3), 4-13
Matthew 10:5-15

COLLECT
O Lord, 
since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-10-17,,"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",,,,"Tuesday 17 October 2023

Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red
Tuesday after Pentecost 20
Week of Proper 28
Year A/1

DAILY EUCHARIST
Romans 1:16-25
Psalm 19:1-4
Luke 11:37-41

DAILY PRAYER: Week A
Jeremiah 36:27 - 37:2
1 Corinthians 14:1-12
Matthew 10:16-23

COLLECT
O Lord, 
since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
